Participant,Condition,Tranche_age,Cn,Cm,Ne,Cl,Cth,Bfd,Bfi,Pe,Hu,Uc_b,Uc_c,Uc_d,Total
P01,C1,Jeune enfant,4,3,6,1,0,0,0,2,0,1,1,0,18
P02,C1,Jeune enfant,4,4,0,2,3,0,0,1,0,1,1,1,17
P03,C0,Jeune enfant,5,5,0,0,0,0,0,0,0,0,0,0,10
P04,C0,Enfant,3,3,0,0,3,0,0,0,0,0,0,0,9
P05,C0,Jeune enfant,3,4,0,0,0,0,0,0,0,0,0,0,7
P06,C0,Enfant,4,4,2,2,4,0,0,2,0,0,1,0,19
P07,C0,Enfant,5,3,0,0,2,0,0,1,0,1,0,0,12
P08,C1,Jeune enfant,4,3,1,0,4,0,0,0,0,1,0,1,14
P09,C1,Jeune enfant,6,5,6,0,0,2,3,0,0,2,0,0,24
P10,C1,Jeune enfant,5,4,2,0,0,0,0,0,0,2,0,1,14
P11,C1,Enfant,6,6,4,1,4,2,1,3,0,1,1,1,30
P12,C0,Enfant,6,5,0,0,2,1,0,0,1,1,0,0,16
P13,C0,Jeune enfant,4,3,2,3,3,0,0,0,0,0,0,2,17
P14,C1,Enfant,4,4,6,0,4,0,3,3,1,0,2,0,27
P15,C0,Jeune enfant,3,3,1,0,3,0,0,0,1,0,0,0,11
P17,C1,Adolescent,4,4,1,3,3,0,0,0,3,2,1,1,22
P18,C1,Enfant,3,2,5,0,3,0,3,0,3,0,0,0,19
P19,C0,Enfant,4,4,0,0,0,0,0,0,0,0,0,0,8
P20,C0,Enfant,3,4,6,0,3,0,3,0,3,0,0,1,23
P21,C0,Enfant,3,4,5,2,4,0,0,2,1,0,0,0,21
P22,C1,Enfant,4,4,0,4,0,0,0,0,0,2,1,1,16
P23,C1,Enfant,5,6,2,5,0,0,0,2,0,2,1,1,24
P24,C1,Enfant,5,4,3,0,4,0,0,3,0,0,0,0,19
P25,C1,Adulte,5,4,0,3,0,0,0,0,0,2,0,2,16
P26,C0,Enfant,4,4,3,0,4,0,0,3,0,0,0,0,18
P27,C0,Enfant,6,6,0,0,0,2,0,0,2,0,0,1,17
P29,C1,Enfant,5,5,4,2,5,0,0,0,1,1,0,0,23
P30,C0,Enfant,4,5,2,0,2,0,0,2,0,0,0,2,17
P31,C0,Jeune enfant,,,,,,,,,,,,,
P32,C0,Adolescent,0,0,1,0,0,0,0,0,0,0,0,0,1
P33,C0,Enfant,4,4,6,1,3,0,0,2,2,2,2,2,28
P35,C1,Enfant,4,4,6,2,4,0,0,1,0,0,1,2,24
P36,C1,Enfant,5,4,5,4,4,0,0,1,0,0,0,0,23
P37,C1,Adulte,6,5,0,3,0,1,0,1,0,1,0,1,18
P38,C0,Enfant,3,3,1,0,3,0,0,0,1,0,0,1,12
P39,C0,Enfant,4,3,3,0,4,0,2,0,1,0,0,0,17
P40,C1,Adulte,6,6,3,4,2,2,2,3,0,2,2,2,34
P41,C1,Enfant,6,6,4,3,3,1,0,0,1,2,0,1,27
P42,C1,Enfant,2,2,6,0,2,0,0,3,0,1,0,0,16
P43,C1,Enfant,2,2,3,1,2,0,0,2,0,0,2,1,15
P44,C0,Enfant,1,1,1,0,0,0,0,0,0,0,0,0,3
P45,C1,Enfant,5,5,3,0,5,0,0,1,0,0,0,2,21
P46,C0,Enfant,3,3,0,0,0,0,0,0,1,0,0,0,7
P47,C0,Enfant,5,5,0,0,2,0,0,3,0,1,0,1,17
P48,C1,Enfant,5,5,3,1,5,0,0,5,0,1,0,1,26
P49,C0,Jeune enfant,4,3,6,4,4,0,0,2,2,0,0,0,25
P50,C1,Enfant,6,6,5,1,4,1,3,1,1,0,0,0,28
P51,C0,Enfant,2,3,3,0,2,0,0,1,0,1,0,0,12
P52,C1,Enfant,4,4,4,0,4,0,0,4,0,0,0,1,21
P53,C0,Enfant,5,4,0,2,0,0,0,0,1,1,0,0,13
P55,C1,Enfant,4,4,4,2,2,0,0,4,1,2,2,2,27
P56,C0,Enfant,4,1,0,2,0,0,0,0,0,1,0,0,8
P57,C0,Enfant,4,4,1,0,0,0,0,1,1,0,1,0,12
